date,outlet,day_of_week,month,is_weekend,is_holiday,is_summer,is_monsoon,temperature,menu_item,units_sold
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,21.8,Masala Dosa,65
2021-01-01,Electronic City,Friday,1,0,0,0,0,20.9,Gulab Jamun,25
2021-01-01,Electronic City,Friday,1,0,0,0,0,21.4,Butter Chicken,67
2021-01-01,Whitefield,Friday,1,0,0,0,0,23.4,Biryani,91
2021-01-01,Indiranagar,Friday,1,0,0,0,0,22.4,Masala Dosa,75
2021-01-01,Banashankari,Friday,1,0,0,0,0,19.5,Cold Coffee,35
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,18.4,Gulab Jamun,30
2021-01-01,HSR Layout,Friday,1,0,0,0,0,20.8,Chicken Burger,65
2021-01-01,Whitefield,Friday,1,0,0,0,0,21.8,Gulab Jamun,27
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,21.1,Biryani,88
2021-01-01,Whitefield,Friday,1,0,0,0,0,21.2,Chicken Burger,55
2021-01-01,MG Road,Friday,1,0,0,0,0,20.7,Masala Dosa,105
2021-01-01,Whitefield,Friday,1,0,0,0,0,22.3,Butter Chicken,67
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,23.0,Cold Coffee,42
2021-01-01,Banashankari,Friday,1,0,0,0,0,22.5,Veg Thali,76
2021-01-01,Electronic City,Friday,1,0,0,0,0,21.9,Chicken Burger,51
2021-01-01,Yelahanka,Friday,1,0,0,0,0,21.1,Paneer Tikka,50
2021-01-01,Indiranagar,Friday,1,0,0,0,0,19.8,Butter Chicken,77
2021-01-01,Marathahalli,Friday,1,0,0,0,0,20.4,Butter Chicken,72
2021-01-01,Koramangala,Friday,1,0,0,0,0,21.7,Veg Thali,89
2021-01-01,Koramangala,Friday,1,0,0,0,0,20.8,Cold Coffee,43
2021-01-01,Jayanagar,Friday,1,0,0,0,0,21.8,Biryani,86
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,22.3,Butter Chicken,85
2021-01-01,Jayanagar,Friday,1,0,0,0,0,20.7,Paneer Tikka,53
2021-01-01,Jayanagar,Friday,1,0,0,0,0,21.0,Veg Thali,304
2021-01-01,Rajajinagar,Friday,1,0,0,0,0,23.3,Chicken Burger,54
2021-01-01,Koramangala,Friday,1,0,0,0,0,21.4,Butter Chicken,94
2021-01-01,Indiranagar,Friday,1,0,0,0,0,22.1,Paneer Tikka,62
2021-01-01,HSR Layout,Friday,1,0,0,0,0,21.1,Veg Thali,93
2021-01-01,Jayanagar,Friday,1,0,0,0,0,20.6,Butter Chicken,73
